load,duration,system,type,countTh,cpuTh,methodTimeTh,memoryUsageTh,heapTh,numMsgs,option,foundAP,time
25,3,openmrs,CTH,30,30,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,30,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,35,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,35,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,35,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,40,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,40,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,40,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,45,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,45,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,45,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,50,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,50,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,50,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,55,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,55,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,55,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,60,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,60,-1,-1,-1,-1,max,0,1
25,3,openmrs,CTH,30,60,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,65,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,65,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,65,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,70,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,70,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,70,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,75,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,75,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,75,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,80,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,80,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,80,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,85,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,85,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,85,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,90,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,90,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,90,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,30,95,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,30,95,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,30,95,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,5,-1,-1,-1,-1,min,0,17
25,3,openmrs,CTH,35,5,-1,-1,-1,-1,max,1,23
25,3,openmrs,CTH,35,5,-1,-1,-1,-1,average,0,19
25,3,openmrs,CTH,35,10,-1,-1,-1,-1,min,0,19
25,3,openmrs,CTH,35,10,-1,-1,-1,-1,max,1,20
25,3,openmrs,CTH,35,10,-1,-1,-1,-1,average,0,19
25,3,openmrs,CTH,35,15,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,15,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,15,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,20,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,20,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,20,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,25,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,25,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,25,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,30,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,30,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,30,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,35,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,35,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,35,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,40,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,40,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,40,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,45,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,45,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,45,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,50,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,50,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,50,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,55,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,55,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,55,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,60,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,60,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,60,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,65,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,65,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,65,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,70,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,70,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,70,-1,-1,-1,-1,average,0,1
25,3,openmrs,CTH,35,75,-1,-1,-1,-1,min,0,0
25,3,openmrs,CTH,35,75,-1,-1,-1,-1,max,0,0
25,3,openmrs,CTH,35,75,-1,-1,-1,-1,average,0,0
25,3,openmrs,CTH,35,80,-1,-1,-1,-1,min,0,0
